name,borough,description
P.S. 72 - MANHATTAN,MANHATTAN,SCIENCE LAB UPGRADE
P.S. 75 - MANHATTAN,MANHATTAN,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL
P.S. 75 - MANHATTAN,MANHATTAN,TEMPORARY BOILER
BARD COLLEGE HS - MANHATTAN,MANHATTAN,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY:FLOOD/MASONRY
P.S. 101 - MANHATTAN,MANHATTAN,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 102 - MANHATTAN,MANHATTAN,DEFECTIVE CONCRETE BEAM FIRE PROOFING
P.S. 108 - MANHATTAN,MANHATTAN,PLANYC BOILER/PLANC CLIMATE CTRL/LOW VOLT/KITCHEN
P.S. 241 - MANHATTAN,MANHATTAN,FLOOD ELIMINATION
P.S. 241 - MANHATTAN,MANHATTAN,PLANYC BOILER CONVERSION/CIMATE CONTROL
P.S. 333 - MANHATTAN,MANHATTAN,EXTERIOR MASONRY/ROOFS/PARAPETS
P.S. 123 - MANHATTAN,MANHATTAN,FLOOD ELIMINATION
P.S. 128 - MANHATTAN,MANHATTAN,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL
P.S. 129 - MANHATTAN,MANHATTAN,SCIENCE LAB UPGRADES
P.S. 130 - MANHATTAN,MANHATTAN,STRUCTURAL DEFICIENCIES
P.S. 145 - MANHATTAN,MANHATTAN,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL
P.S. 146 - MANHATTAN,MANHATTAN,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 152 - MANHATTAN,MANHATTAN,FIRE ALARM
P.S. 158 - MANHATTAN,MANHATTAN,MASONRY/FLOOD ELIMINATION/ROOFS/WINDOWS/PARAPETS
P.S. 165 - MANHATTAN,MANHATTAN,EXT MASONRY/ROOFS
I.S. 167 - MANHATTAN,MANHATTAN,FACADE DAMAGE/SITE WORK/FLOOD/PARAPETS/WINDOWS
I.S. 167 - MANHATTAN,MANHATTAN,FY15 RESO A SCIENCE LAB UPGRADES
P.S. 183 - MANHATTAN,MANHATTAN,EXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS
HAMILTON GRANGE MIDDLE SCHOOL,MANHATTAN,SCIENCE LAB UPGRADE
P.S. 132 - MANHATTAN,MANHATTAN,FUEL OIL TANK REPLACEMENT
P.S. 234 - MANHATTAN,MANHATTAN,FY16 RESO A AUDITORIUM UPGRADE
BAYARD RUSTIN EDUCATIONAL COMP,MANHATTAN,SCIENCE LAB UPGRADE
SEWARD PARK H.S.,MANHATTAN,WINDOWS/PARAPETS/FLOOD/EXT MASONRY/ROOFS
UNIVERSITY NEIGHBORHOOD HS - M,MANHATTAN,FIRE ALARM/VENTILATION
GRAMERCY ARTS HS - MANHATTAN,MANHATTAN,ELECTRICAL SYSTEMS/PA SYSTEM
WASHINGTON IRVING H.S.,MANHATTAN,WATER STORAGE TANK
WASHINGTON IRVING HS - MANHATT,MANHATTAN,EXT. MASONRY/ROOF/PARAPET/ FLOOD ELIM./WINDOWS/GYM
JULIA RICHMAN H.S.,MANHATTAN,LL 41-16 COMPLIANCE
BERGTRAUM HS - MANHATTAN,MANHATTAN,LIBRARY UPGRADE
FOOD AND FINANCE HS - MANHATTA,MANHATTAN,FY11 RESO A ROOFS
PARK WEST H. S. (ECF),MANHATTAN,C OF O/C OF O VENT/WATER PLANT/BOILER/ENERGY MGMT
A. PHILIP RANDOLPH HS -MANHATT,MANHATTAN,LIGHTING REPLACEMENT
FASHION INDUSTRIES VOC HS - M,MANHATTAN,ACCESSIBILITY
CHELSEA VOC HS - MANHATTAN,MANHATTAN,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM
HS OF GRAPHIC COMM. ARTS (VOC),MANHATTAN,PLANYC BOILERS CONVERSION/CLIMATE CONTROL
M721 SPED - MANHATTAN,MANHATTAN,REINFORCE CINDER/FLOORS/ACCESSIBLITY/ELEC UPG/FA
I.S. 348 - MANHATTAN,MANHATTAN,FY16 RESO A PLAYGROUND UPGRADE
P.S. 2 - QUEENS,QUEENS   ,FY15 RESO A ACCESSIBILITY
I.S. 5 - QUEENS,QUEENS   ,HVAC/PUBLIC ADDRESS SYSTEM
P.S. 12 - QUEENS,QUEENS   ,BOILER REPLACE/ELEC SWITCH UPG/PLANYC CLIMATE CTRL
P.S. 14 - QUEENS,QUEENS   ,ROOFS/PARAPETS/EXT MASONRY
QUEENS ACADEMY HIGH SCHOOL - Q,QUEENS   ,TOILETS-STUDENT
QUEENS ACADEMY HIGH SCHOOL - Q,QUEENS   ,WATER PENETRATION/EXT MASONRY/ROOFS
P.S. 26 - QUEENS,QUEENS   ,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM
P.S. 354 - QUEENS,QUEENS   ,DEFECTIVE PARAPET WALL/ROOFS/EXT MASONRY
P.S. 32 - QUEENS,QUEENS   ,FY15 RESO A AUDITORIUM UPGRADE
P.S. 33 - QUEENS,QUEENS   ,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY
P.S. 42 - QUEENS,QUEENS   ,SANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC
P.S. 43 - QUEENS,QUEENS   ,SANDY- ELEVATOR REPAIR
P.S. 43 - QUEENS,QUEENS   ,SANDY-INTERIOR/HEATING/FLOOD/SHINGLE ROOF/CLIMATE
P.S. 45 - QUEENS,QUEENS   ,FY15 RESO A AUDITORIUM UPGRADE
P.S. 52 - QUEENS,QUEENS   ,ELECTRICAL LIGHTING FIXTURES
P.S. 52 - QUEENS,QUEENS   ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
P.S. 63 - QUEENS,QUEENS   ,FY15 RESO A AUDITORIUM UPGRADE
P.S. 63 - QUEENS,QUEENS   ,WATER PENETRATION/EXT MASONRY/PARAPETS/ROOFS
P.S. 64 - QUEENS,QUEENS   ,FY16 RESO A AUDITORIUM
J.H.S. 72 - QUEENS,QUEENS   ,FY13 RESO A PLAYGROUND REDEVELOPMENT
I.S. 73 - QUEENS,QUEENS   ,LOW VOLT ELECTRICAL SYSTEMS
I.S. 74 - QUEENS,QUEENS   ,FY16 RESO A AUDITORIUM UPGRADE
Q075 SPED - QUEENS,QUEENS   ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 79 - QUEENS,QUEENS   ,RPZ VALVE
P.S. 85 - QUEENS,QUEENS   ,RPZ VALVES/LOW VOLTAGE/ELECTRICAL UPG
P.S. 98 - QUEENS,QUEENS   ,WATER PENETRATION
P.S. 101 - QUEENS,QUEENS   ,FY15 RESO A AUDITORIUM UPGRADE
P.S. 102 - QUEENS,QUEENS   ,ADA UPGRADE
P.S. 105 - QUEENS,QUEENS   ,SANDY:HEATING/ELEC/FLOOD/AUD/PIPING/HVAC/INT/PAVED
P.S. 114 - QUEENS,QUEENS   ,SANDY:INT/HEATING/ELEC/FLOOD/CLIM/PLAYGRND/PIPING
P.S. 115 - QUEENS,QUEENS   ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 116 - QUEENS,QUEENS   ,EXT MASONRY/ROOFS/CONCRETE ROOF DECK/PARAPETS
P.S. 121 - QUEENS,QUEENS   ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
P.S. 123 - QUEENS,QUEENS   ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
I.S. 126 - QUEENS,QUEENS   ,FY16 RESO A PLAYGROUND REDEVELOPMENT
P.S. 139 - QUEENS,QUEENS   ,WATER PENETRATION/ROOFS
Q752 SPED - QUEENS,QUEENS   ,ELECTRICAL LIGHTING FIXTURES
I.S. 145 - QUEENS,QUEENS   ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 151 - QUEENS,QUEENS   ,WATER INFILTRATION/ROOFS/PARAPETS/EXT MASONRY
J.H.S. 157 - QUEENS,QUEENS   ,FY16 RESO A ROOM CONVERSIONS / PART
P.S. 160 - QUEENS,QUEENS   ,CHIMNEY/ROOFS/PARAPETS/FLOOD
P.S. 162 - QUEENS,QUEENS   ,PARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING
P.S. 169 - QUEENS,QUEENS   ,WATER PENETRATION
P.S. 174 - QUEENS,QUEENS   ,FY16 RESO A ROOM CONV/FY16 RESO A SCIENCE LAB UPG
