name,borough,attendancePercentage
P.S. 226 ALFRED DE B. MASON,K,95.13
I.S. 228 DAVID A. BOODY,K,96.12
P.S. 238 ANNE SULLIVAN,K,93.32
MARK TWAIN I.S. 239 FOR THE GIFTED TAL,K,96.08
P.S. 253,K,95.39
I.S. 281 JOSEPH B CAVALLARO,K,95.35
P.S. 288 THE SHIRLEY TANYHILL,K,89.32
I.S. 303 HERBERT S. EISENBERG,K,94.24
P.S. 329 SURFSIDE,K,89.87
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,K,81.32
RACHEL CARSON HIGH SCHOOL FOR COASTAL ST,K,85.42
HIGH SCHOOL OF SPORTS MANAGEMENT,K,-1.00
ABRAHAM LINCOLN HIGH SCHOOL,K,80.31
KINGSBOROUGH EARLY COLLEGE SCHOOL,K,91.51
EDWARD R. MURROW HIGH SCHOOL,K,79.90
JOHN DEWEY HIGH SCHOOL,K,81.07
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MU,K,75.08
EXPEDITIONARY LEARNING SCHOOL FOR COMMUN,K,78.55
WILLIAM E. GRADY CAREER AND TECHNICAL ED,K,74.50
BROOKLYN STUDIO SECONDARY SCHOOL,K,92.54
LIBERATION DIPLOMA PLUS,K,-1.00
BROOKLYN S DAILY DISCOVERY PRE K CENTER,K,88.76
J.H.S. 014 SHELL BANK,K,95.33
P.S. 052 SHEEPSHEAD BAY,K,93.64
J.H.S. 078 ROY H. MANN,K,95.62
P.S. 109,K,94.19
P.S. 119 AMERSFORT,K,96.10
P.S. K134,K,96.53
P.S. 139 ALEXINE A. FENTY,K,92.86
SCHOOL OF SCIENCE TECHNOLOGY,K,93.84
P.S. 193 GIL HODGES,K,95.48
P.S. 194 RAOUL WALLENBERG,K,92.74
P.S. 195 MANHATTAN BEACH,K,95.07
P.S. 197 THE KINGS HIGHWAY ACADEMY,K,95.12
P.S. 198 BROOKLYN,K,94.00
P.S. 203 FLOYD BENNETT SCHOOL,K,93.01
P.S. 206 JOSEPH F LAMB,K,96.75
P.S. 207 ELIZABETH G. LEARY,K,95.11
P.S. 217 COLONEL DAVID MARCUS SCHOOL,K,95.02
P.S. 222 KATHERINE R. SNYDER,K,95.70
J.H.S. 234 ARTHUR W. CUNNINGHAM,K,94.93
P.S. 236 MILL BASIN,K,95.46
ANDRIES HUDDE,K,94.86
P.S. 245,K,93.50
P.S. 251 PAERDEGAT,K,92.70
P.S. 254 DAG HAMMARSKJOLD,K,94.25
P.S. 255 BARBARA REING SCHOOL,K,92.67
P.S. 277 GERRITSEN BEACH,K,96.03
J.H.S. 278 MARINE PARK,K,94.96
P.S. 312 BERGEN BEACH,K,94.25
P.S. K315,K,93.48
P.S. 326,K,96.98
P.S. 361 EAST FLATBUSH EARLY CHILDHOOD S,K,92.23
I. S. 381,K,96.29
MIDWOOD HIGH SCHOOL,K,89.90
JAMES MADISON HIGH SCHOOL,K,86.13
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SC,K,94.70
BROOKLYN COLLEGE ACADEMY,K,66.61
ORIGINS HIGH SCHOOL,K,79.61
PROFESSIONAL PATHWAYS HIGH SCHOOL,K,46.42
THE JOAN SNOW PRE K CENTER,K,84.15
P.S. 889,K,94.77
M.S. 890,K,95.21
P.S. 041 FRANCIS WHITE,K,89.19
P.S. I.S. 137 RACHEL JEAN MITCHELL,K,87.28
P.S. 150 CHRISTOPHER,K,88.66
P.S. I.S. 155 NICHOLAS HERKIMER,K,87.64
P.S. 156 WAVERLY,K,90.37
P.S. 165 IDA POSNER,K,84.77
P.S. 178 SAINT CLAIR MCKELWAY,K,81.21
P.S. 184 NEWPORT,K,88.30
THE GREGORY JOCKO JACKSON SCHOOL OF SPOR,K,88.81
P.S. 298 DR. BETTY SHABAZZ,K,91.57
P.S. I.S. 323,K,87.86
P.S. 327 DR. ROSE B. ENGLISH,K,92.17
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,K,82.92
I.S. 392,K,95.42
CHRISTOPHER AVENUE COMMUNITY SCHOOL,K,86.58
RIVERDALE AVENUE COMMUNITY SCHOOL,K,89.14
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCH,K,80.45
FREDERICK DOUGLASS ACADEMY VII HIGH SCHO,K,83.33
KAPPA V KNOWLEDGE AND POWER PREPARATORY,K,95.31
MOTT HALL IV,K,87.64
BROOKLYN LANDMARK ELEMENTARY SCHOOL,K,93.24
BROOKLYN DEMOCRACY ACADEMY,K,43.49
EAGLE ACADEMY FOR YOUNG MEN II,K,97.47
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,K,46.07
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOO,K,-1.00
RIVERDALE AVENUE MIDDLE SCHOOL,K,89.05
MOTT HALL BRIDGES ACADEMY,K,93.36
TEACHERS PREPARATORY HIGH SCHOOL,K,80.56
I.S. 5 THE WALTER CROWLEY INTERMEDIATE,Q,96.59
P.S. 007 LOUIS F. SIMEONE,Q,96.50
P.S. 012 JAMES B. COLGATE,Q,95.37
P.S. 013 CLEMENT C. MOORE,Q,95.28
P.S. 014 FAIRVIEW,Q,95.34
P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,Q,95.95
P.S. 019 MARINO JEANTET,Q,97.08
P.S. 28 THE THOMAS EMANUEL EARLY CHILD,Q,93.93
P.S. 049 DOROTHY BONAWIT KOLE,Q,94.77
P.S. 58 THE SCHOOL OF HEROES,Q,96.58
I.S. 061 LEONARDO DA VINCI,Q,89.85
P.S. 068 CAMBRIDGE,Q,93.40
P.S. 071 FOREST,Q,92.87
I.S. 73 THE FRANK SANSIVIERI INTERMEDI,Q,95.88
I.S. 077,Q,92.84
P.S. 81Q JEAN PAUL RICHTER,Q,96.30
P.S. I.S. 087 MIDDLE VILLAGE,Q,94.64
P.S. 088 SENECA,Q,92.75
P.S. 089 ELMHURST,Q,95.84
P.S. 091 RICHARD ARKWRIGHT,Q,92.29
I.S. 093 RIDGEWOOD,Q,94.23
P.S. 102 BAYVIEW,Q,96.00
P.S. 110,Q,96.86
P.S. I.S. 113 ANTHONY J. PRANZO,Q,95.21
I.S. 119 THE GLENDALE,Q,96.09
I.S. 125 THOM J. MCCANN WOODSIDE,Q,96.08
P.S. 128 THE LORRAINE TUZZO JUNIPER VAL,Q,95.36
P.S. 143 LOUIS ARMSTRONG,Q,93.71
P.S. 153 MASPETH ELEM,Q,93.38
P.S. 199 MAURICE A. FITZGERALD,Q,93.73
ELM TREE ELEMENTARY SCHOOL,Q,95.20
P.S. 229 EMANUEL KAPLAN,Q,95.44
INTERNATIONAL HIGH SCHOOL FOR HEALTH SCI,Q,88.88
P.S. 239,Q,92.23
ACADEMY OF FINANCE AND ENTERPRISE,Q,93.61
HIGH SCHOOL OF APPLIED COMMUNICATION,Q,90.22
A.C.E. ACADEMY FOR SCHOLARS AT THE GERAL,Q,96.36
CIVIC LEADERSHIP ACADEMY,Q,90.68
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,Q,86.04
BARD HIGH SCHOOL EARLY COLLEGE QUEENS,Q,96.56
LEARNERS AND LEADERS,Q,95.19
PIONEER ACADEMY,Q,95.36
CORONA ARTS SCIENCES ACADEMY,Q,95.03
HELEN M. MARSHALL SCHOOL,Q,95.22
MOSAIC PRE K CENTER,Q,88.45
THE CHILDREN S LAB SCHOOL,Q,92.92
NEWTOWN HIGH SCHOOL,Q,72.56
GROVER CLEVELAND HIGH SCHOOL,Q,72.71
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA,Q,-1.00
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA C,Q,91.26
HIGH SCHOOL FOR ARTS AND BUSINESS,Q,81.08
ROBERT F. WAGNER JR. SECONDARY SCHOOL F,Q,90.67
MASPETH HIGH SCHOOL,Q,93.24
QUEENS TECHNICAL HIGH SCHOOL,Q,87.10
AVIATION CAREER TECHNICAL EDUCATION HI,Q,95.75
VOYAGES PREPARATORY,Q,43.93
P.S. 020 JOHN BOWNE,Q,94.02
P.S. 021 EDWARD HART,Q,94.71
P.S. 022 THOMAS JEFFERSON,Q,95.31
P.S. 024 ANDREW JACKSON,Q,96.82
I.S. 025 ADRIEN BLOCK,Q,96.50
P.S. 029 QUEENS,Q,94.55
P.S. 032 STATE STREET,Q,95.85
P.S. 079 FRANCIS LEWIS,Q,95.78
P.S. 107 THOMAS A DOOLEY,Q,95.62
P.S. 120 QUEENS,Q,95.89
P.S. 129 PATRICIA LARKIN,Q,95.19
P.S. 130,Q,95.51
P.S. 154 QUEENS,Q,92.12
P.S. 163 FLUSHING HEIGHTS,Q,97.26
P.S. 164 QUEENS VALLEY,Q,93.89
P.S. 165 EDITH K. BERGTRAUM,Q,92.64
P.S. 169 BAY TERRACE,Q,95.39
P.S. 184 FLUSHING MANOR,Q,96.38
J.H.S. 185 EDWARD BLEEKER,Q,96.96
J.H.S. 189 DANIEL CARTER BEARD,Q,91.82
P.S. 193 ALFRED J. KENNEDY,Q,94.15
J.H.S. 194 WILLIAM CARR,Q,94.94
P.S. M.S. 200 THE MAGNET SCHOOL OF GLO,Q,93.23
P.S. 201 THE DISCOVERY SCHOOL FOR INQUIR,Q,93.27
P.S. 209 CLEARVIEW GARDENS,Q,96.01
P.S. 214 CADWALLADER COLDEN,Q,95.61
P.S. 219 PAUL KLAPPER,Q,94.14
I.S. 237,Q,96.55
VERITAS ACADEMY,Q,86.72
QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,Q,86.35
P.S. 242 LEONARD P. STAVISKY EARLY CHILD,Q,95.12
THE ACTIVE LEARNING ELEMENTARY SCHOOL,Q,94.43
I.S. 250 THE ROBERT F. KENNEDY COMMUNITY,Q,93.60
QUEENS SCHOOL OF INQUIRY THE,Q,92.91
FLUSHING INTERNATIONAL HIGH SCHOOL,Q,85.85
EAST WEST SCHOOL OF INTERNATIONAL STUDIE,Q,94.72
WORLD JOURNALISM PREPARATORY: A COLLEGE,Q,93.19
BELL ACADEMY,Q,96.08
COLLEGE POINT COLLABORATIVE,Q,96.17
DISTRICT 25 PRE K CENTER,Q,86.60
JOHN BOWNE HIGH SCHOOL,Q,74.26
FLUSHING HIGH SCHOOL,Q,74.30
THE QUEENS COLLEGE SCHOOL FOR MATH SCIE,Q,97.54
TOWNSEND HARRIS HIGH SCHOOL,Q,97.03
QUEENS ACADEMY HIGH SCHOOL,Q,30.89
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,Q,86.00
NORTH QUEENS COMMUNITY HIGH SCHOOL,Q,38.09
P.S. 018 WINCHESTER,Q,96.14
P.S. 026 RUFUS KING,Q,95.21
P.S. 031 BAYSIDE,Q,95.99
P.S. 041 CROCHERON,Q,98.08
P.S. 046 ALLEY POND,Q,96.09
J.H.S. 067 LOUIS PASTEUR,Q,98.21
J.H.S. 074 NATHANIEL HAWTHORNE,Q,97.33
P.S. 094 DAVID D. PORTER,Q,94.98
P.S. 098 THE DOUGLASTON SCHOOL,Q,95.39
THE JAMES J. AMBROSE SCHOOL,Q,96.41
P.S. 133 QUEENS,Q,94.70
M.S. 158 MARIE CURIE,Q,96.18
P.S. 159,Q,96.38
P.S. 162 JOHN GOLDEN,Q,95.53
IRWIN ALTMAN MIDDLE SCHOOL 172,Q,97.26
P.S. 173 FRESH MEADOWS,Q,96.81
P.S. IS 178 HOLLISWOOD,Q,96.81
P.S. 186 CASTLEWOOD,Q,96.51
P.S. 188 KINGSBURY,Q,97.06
P.S. 191 MAYFLOWER,Q,95.64
P.S. 203 OAKLAND GARDENS,Q,95.58
P.S. 205 ALEXANDER GRAHAM BELL,Q,95.87
P.S. 213 THE CARL ULLMAN SCHOOL,Q,92.66
J.H.S. 216 GEORGE J. RYAN,Q,95.75
P.S. 221 THE NORTH HILLS SCHOOL,Q,97.02
P.S. I.S. 266,Q,96.28
BUSINESS TECHNOLOGY EARLY COLLEGE HIGH S,Q,82.18
P.S. 376,Q,95.29
BENJAMIN N. CARDOZO HIGH SCHOOL,Q,85.62
FRANCIS LEWIS HIGH SCHOOL,Q,80.56
MARTIN VAN BUREN HIGH SCHOOL,Q,81.12
BAYSIDE HIGH SCHOOL,Q,85.17
QUEENS HIGH SCHOOL OF TEACHING LIBERAL,Q,90.61
P.S. M.S 042 R. VERNAM,Q,85.93
P.S. 043,Q,89.46
P.S. 045 CLARENCE WITHERSPOON,Q,92.97
P.S. 047 CHRIS GALAS,Q,90.54
P.S. 051,Q,91.93
M.S. 053 BRIAN PICCOLO,Q,90.67
P.S. 056 HARRY EICHLER,Q,95.55
P.S. 060 WOODHAVEN,Q,91.63
P. S. 62 CHESTER PARK SCHOOL,Q,93.88
P.S. 063 OLD SOUTH,Q,90.09
P.S. 064 JOSEPH P. ADDABBO,Q,92.53
P.S. 65 THE RAYMOND YORK ELEMENTARY SC,Q,90.34
P.S. 066 JACQUELINE KENNEDY ONASSIS,Q,94.38
P.S. 090 HORACE MANN,Q,94.41
P.S. 096,Q,95.12
P.S. 097 FOREST PARK,Q,93.56
P.S. 100 GLEN MORRIS,Q,92.26
P.S. 104 THE BAYS WATER,Q,90.21
P.S. 105 THE BAY SCHOOL,Q,88.96
LIGHTHOUSE ELEMENTARY SCHOOL,Q,90.90
P.S. 108 CAPTAIN VINCENT G. FOWLER,Q,95.76
P.S. M.S. 114 BELLE HARBOR,Q,96.19
P.S. 123,Q,93.17
P.S. 124 OSMOND A CHURCH,Q,94.15
M.S. 137 AMERICA S SCHOOL OF HEROES,Q,95.31
P.S. 146 HOWARD BEACH,Q,93.09
P.S. 155,Q,94.06
P.S. 183 DR. RICHARD R. GREEN,Q,87.57
P.S. 197 THE OCEAN SCHOOL,Q,92.75
J.H.S. 202 ROBERT H. GODDARD,Q,92.43
P.S. 207 ROCKWOOD PARK,Q,94.25
J.H.S. 210 ELIZABETH BLACKWELL,Q,94.74
P.S. 223 LYNDON B. JOHNSON,Q,90.62
J.H.S. 226 VIRGIL I. GRISSOM,Q,92.54
P.S. 232 LINDENWOOD,Q,93.86
P.S. 253,Q,91.82
P.S. 254 THE ROSA PARKS SCHOOL,Q,95.40
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOO,Q,52.94
VOYAGES PREP SOUTH QUEENS,Q,-1.00
CHANNEL VIEW SCHOOL FOR RESEARCH,Q,92.50
P.S. 273,Q,90.56
KNOWLEDGE AND POWER PREPARATORY ACADEMY,Q,96.89
HAWTREE CREEK MIDDLE SCHOOL,Q,92.53
QUEENS HIGH SCHOOL FOR INFORMATION RESE,Q,76.57
NEW YORK CITY ACADEMY FOR DISCOVERY,Q,91.77
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNI,Q,89.90
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE,Q,81.13
EPIC HIGH SCHOOL SOUTH,Q,55.11
QUEENS EXPLORERS ELEMENTARY SCHOOL,Q,94.14
WATERSIDE CHILDREN S STUDIO SCHOOL,Q,91.76
WATERSIDE SCHOOL FOR LEADERSHIP,Q,89.69
VILLAGE ACADEMY,Q,83.50
SCHOLARS ACADEMY,Q,96.65
ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMEN,Q,71.33
GOLDIE MAPLE ACADEMY,Q,95.25
EPIC HIGH SCHOOL NORTH,Q,80.34
CURIOUS YOUNG LEARNERS PRE K CENTER,Q,75.34
ROCKAWAY COLLEGIATE HIGH SCHOOL,Q,64.16
WAVE PREPARATORY ELEMENTARY SCHOOL,Q,94.25
P.S. 377,Q,88.92
AUGUST MARTIN HIGH SCHOOL,Q,89.00
RICHMOND HILL HIGH SCHOOL,Q,78.33
JOHN ADAMS HIGH SCHOOL,Q,83.64
HIGH SCHOOL FOR CONSTRUCTION TRADES ENG,Q,93.66
J.H.S. 008 RICHARD S. GROSSLEY,Q,92.87
P.S. 040 SAMUEL HUNTINGTON,Q,91.60
P.S. 048 WILLIAM WORDSWORTH,Q,92.23
P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,Q,93.30
P.S. 054 HILLSIDE,Q,95.39
P.S. 055 MAURE,Q,91.45
CATHERINE COUNT BASIE MIDDLE SCHOOL 72,Q,83.23
PS 80 THE THURGOOD MARSHALL MAGNET SCHO,Q,93.38
P.S. 082 HAMMOND,Q,93.83
P.S. Q086,Q,94.19
P.S. 099 KEW GARDENS,Q,95.24
P.S. 101 SCHOOL IN THE GARDENS,Q,96.32
P.S. 117 J. KELD BRIARWOOD SCHOOL,Q,93.26
P.S. 121 QUEENS,Q,94.01
P.S. 139 REGO PARK,Q,95.96
P.S. 140 EDWARD K ELLINGTON,Q,87.77
P.S. 144 COL JEROMUS REMSEN,Q,95.30
J.H.S. 157 STEPHEN A. HALSEY,Q,95.15
P.S. 160 WALTER FRANCIS BISHOP,Q,92.38
P.S. 161 ARTHUR ASHE SCHOOL,Q,93.30
METROPOLITAN EXPEDITIONARY LEARNING SCHO,Q,95.01
P.S. 174 WILLIAM SIDNEY MOUNT,Q,94.96
P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,Q,95.45
P.S. 182 SAMANTHA SMITH,Q,94.14
J.H.S. 190 RUSSELL SAGE,Q,93.31
P.S. 196 GRAND CENTRAL PARKWAY,Q,97.25
P.S. 206 THE HORACE HARDING SCHOOL,Q,96.36
J.H.S. 217 ROBERT A. VAN WYCK,Q,90.05
P.S. 220 EDWARD MANDEL,Q,95.15
YORK EARLY COLLEGE ACADEMY,Q,94.30
THE EMERSON SCHOOL,Q,90.08
THE ACADEMY FOR EXCELLENCE THROUGH THE A,Q,97.58
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOO,Q,77.76
JAMAICA CHILDREN S SCHOOL,Q,91.83
HILLSIDE ARTS LETTERS ACADEMY,Q,82.60
HIGH SCHOOL FOR COMMUNITY LEADERSHIP,Q,78.37
REDWOOD MIDDLE SCHOOL,Q,87.10
THE EZRA JACK KEATS PRE K CENTER,Q,86.20
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTU,Q,49.45
THE QUEENS SCHOOL FOR LEADERSHIP AND EXC,Q,94.53
JAMAICA GATEWAY TO THE SCIENCES,Q,88.02
THE JERMAINE L. GREEN STEM INSTITUTE OF,Q,-1.00
M.S. 358,Q,95.84
FOREST HILLS HIGH SCHOOL,Q,78.83
HILLCREST HIGH SCHOOL,Q,77.75
THOMAS A. EDISON CAREER AND TECHNICAL ED,Q,91.35
QUEENS GATEWAY TO HEALTH SCIENCES SECOND,Q,96.73
QUEENS METROPOLITAN HIGH SCHOOL,Q,92.63
QUEENS HIGH SCHOOL FOR THE SCIENCES AT Y,Q,94.30
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBL,Q,78.00
YOUNG WOMEN S LEADERSHIP SCHOOL QUEENS,Q,94.24
P.S. 015 JACKIE ROBINSON,Q,94.11
P.S. 033 EDWARD M. FUNK,Q,95.12
P.S. 034 JOHN HARVARD,Q,95.81
P.S. 035 NATHANIEL WOODHULL,Q,95.00
P.S. 036 SAINT ALBANS SCHOOL,Q,93.12
CYNTHIA JENKINS SCHOOL,Q,89.06
P.S. 038 ROSEDALE,Q,95.10
P.S. 052 QUEENS,Q,88.86
I.S. 059 SPRINGFIELD GARDENS,Q,91.59
P.S. 095 EASTWOOD,Q,92.19
JEAN NUZZI INTERMEDIATE SCHOOL,Q,95.25
P.S. I.S. 116 WILLIAM C. HUGHLEY,Q,94.50
P.S. 118 LORRAINE HANSBERRY,Q,91.34
P.S. 131 ABIGAIL ADAMS,Q,95.50
P.S. 132 RALPH BUNCHE,Q,92.79
P.S. 134 HOLLIS,Q,92.08
THE BELLAIRE SCHOOL,Q,93.63
P.S. 136 ROY WILKINS,Q,92.33
P.S. M.S. 138 SUNRISE,Q,92.74
P.S. M.S. 147 RONALD MCNAIR,Q,91.85
P.S. 156 LAURELTON,Q,83.98
P.S. 176 CAMBRIA HEIGHTS,Q,96.00
P.S. 181 BROOKFIELD,Q,93.96
I.S. 192 THE LINDEN,Q,96.78
P.S. 195 WILLIAM HABERLE,Q,92.17
P.S. I.S. 208,Q,95.11
I.S. 238 SUSAN B. ANTHONY ACADEMY,Q,93.64
INSTITUTE FOR HEALTH PROFESSIONS AT CAMB,Q,87.17
QUEENS PREPARATORY ACADEMY,Q,61.02
P.S. 251 QUEENS,Q,91.37
PATHWAYS COLLEGE PREPARATORY SCHOOL: A C,Q,83.07
EXCELSIOR PREPARATORY HIGH SCHOOL,Q,73.57
P.S. I.S. 268,Q,94.48
THE GORDON PARKS SCHOOL,Q,95.87
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR,Q,66.20
PREPARATORY ACADEMY FOR WRITERS: A COLLE,Q,80.16
QUEENS UNITED MIDDLE SCHOOL,Q,88.82
P.S. I.S. 295,Q,95.47
BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANC,Q,68.94
CAMBRIA HEIGHTS ACADEMY,Q,85.67
EAGLE ACADEMY FOR YOUNG MEN III,Q,83.16
COLLABORATIVE ARTS MIDDLE SCHOOL,Q,93.08
COMMUNITY VOICES MIDDLE SCHOOL,Q,89.44
P.S. 360,Q,92.75
DISTRICT 29 PRE K CENTER,Q,81.12
MATHEMATICS SCIENCE RESEARCH AND TECHNO,Q,71.32
HUMANITIES ARTS MAGNET HIGH SCHOOL,Q,81.63
P.S. 002 ALFRED ZIMBERG,Q,94.48
I.S. 010 HORACE GREELEY,Q,93.76
P.S. 011 KATHRYN PHELAN,Q,95.22
P.S. 017 HENRY DAVID THOREAU,Q,94.21
P.S. 069 JACKSON HEIGHTS,Q,97.33
P.S. 070,Q,94.91
P.S. 076 WILLIAM HALLET,Q,90.76
P.S. I.S. 78Q,Q,95.72
P.S. 084 STEINWAY,Q,95.30
P.S. 085 JUDGE CHARLES VALLONE,Q,95.62
P.S. 092 HARRY T. STEWART SR.,Q,95.61
P.S. 111 JACOB BLACKWELL,Q,92.56
P.S. 112 DUTCH KILLS,Q,90.06
P.S. 122 MAMIE FAY,Q,95.84
ALBERT SHANKER SCHOOL FOR VISUAL AND PER,Q,94.47
P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL,Q,94.49
I.S. 141 THE STEINWAY,Q,96.42
I.S. 145 JOSEPH PULITZER,Q,96.24
P.S. 148 QUEENS,Q,94.45
P.S. 149 CHRISTA MCAULIFFE,Q,95.91
P.S. 150 QUEENS,Q,96.49
P.S. 151 MARY D. CARTER,Q,92.95
P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,Q,97.02
P.S. 166 HENRY GRADSTEIN,Q,95.83
P.S. 171 PETER G. VAN ALST,Q,90.13
I.S. 204 OLIVER W. HOLMES,Q,90.13
P.S. 212,Q,95.41
P.S. Q222 FIRE FIGHTER CHRISTOPHER A.,Q,93.01
I.S. 227 LOUIS ARMSTRONG,Q,96.88
THE IVAN LAFAYETTE EARLY CHILDHOOD SCHOO,Q,93.42
I.S. 230,Q,96.46
P.S. 234,Q,95.01
ACADEMY FOR NEW AMERICANS,Q,96.32
ENERGY TECH HIGH SCHOOL,Q,90.18
P.S. 280,Q,95.97
YOUNG WOMEN S LEADERSHIP SCHOOL ASTORIA,Q,96.37
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,Q,97.10
THE 30TH AVENUE SCHOOL G T CITYWIDE,Q,97.49
ACADEMY FOR CAREERS IN TELEVISION AND FI,Q,91.28
EAST ELMHURST COMMUNITY SCHOOL,Q,95.48
THE WOODSIDE COMMUNITY SCHOOL,Q,96.75
P.S. 384,Q,96.96
DISTRICT 30 PRE K CENTER,Q,86.71
WILLIAM CULLEN BRYANT HIGH SCHOOL,Q,79.42
LONG ISLAND CITY HIGH SCHOOL,Q,79.23
FRANK SINATRA SCHOOL OF THE ARTS HIGH SC,Q,91.22
INFORMATION TECHNOLOGY HIGH SCHOOL,Q,81.73
NEWCOMERS HIGH SCHOOL,Q,86.71
ACADEMY OF AMERICAN STUDIES,Q,88.88
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATIO,Q,96.98
P.S. 001 TOTTENVILLE,R,95.71
I.S. R002 GEORGE L. EGBERT,R,94.95
P.S. 003 THE MARGARET GIOIOSA SCHOOL,R,95.68
P.S. 004 MAURICE WOLLIN,R,93.97
P.S. 005 HUGUENOT,R,95.19
P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,R,96.25
I.S. 007 ELIAS BERNSTEIN,R,95.54
P.S. 8 SHIRLEE SOLOMON,R,95.31
NAPLES STREET ELEMENTARY SCHOOL,R,95.15
FORT HILL COLLABORATIVE ELEMENTARY SCHOO,R,90.30
P.S. 11 THOMAS DONGAN SCHOOL,R,94.58
P.S. 013 M. L. LINDEMEYER,R,93.93
P.S. 016 JOHN J. DRISCOLL,R,86.37
P.S. 018 JOHN G. WHITTIER,R,89.17
P.S. 019 THE CURTIS SCHOOL,R,92.19
P.S. 020 PORT RICHMOND,R,94.92
P.S. 21 MARGARET EMERY ELM PARK,R,86.12
P.S. 022 GRANITEVILLE,R,92.25
P.S. 023 RICHMONDTOWN,R,95.75
I.S. 024 MYRA S. BARNES,R,93.61
P.S. 026 THE CARTERET SCHOOL,R,94.27
I.S. 027 ANNING S. PRALL,R,92.98
THE EAGLE ACADEMY FOR YOUNG MEN OF STATE,R,91.41
P.S. 029 BARDWELL,R,96.70
P.S. 030 WESTERLEIGH,R,95.77
P.S. 031 WILLIAM T. DAVIS,R,92.65
P.S. 032 THE GIFFORD SCHOOL,R,95.57
I.S. 034 TOTTENVILLE,R,88.72
P.S. 35 THE CLOVE VALLEY SCHOOL,R,95.37
P.S. 036 J. C. DRUMGOOLE,R,94.81
P.S. 038 GEORGE CROMWELL,R,90.05
P.S. 39 FRANCIS J. MURPHY JR.,R,90.37
THE STEPHANIE A. VIERNO SCHOOL,R,94.48
P.S. 042 ELTINGVILLE,R,93.77
P.S. 044 THOMAS C. BROWN,R,88.63
P.S. 045 JOHN TYLER,R,92.64
P.S. 046 ALBERT V. MANISCALCO,R,91.49
CSI HIGH SCHOOL FOR INTERNATIONAL STUDIE,R,95.91
P.S. 048 WILLIAM G. WILCOX,R,95.50
I.S. 49 BERTA A. DREYFUS,R,88.84
P.S. 050 FRANK HANKINSON,R,95.15
I.S. 051 EDWIN MARKHAM,R,87.77
P.S. 052 JOHN C. THOMPSON,R,96.55
THE BARBARA ESSELBORN SCHOOL,R,94.60
P.S. 054 CHARLES W. LENG,R,92.51
P.S. 055 HENRY M. BOEHM,R,92.12
P.S. 56 THE LOUIS DESARIO SCHOOL,R,94.19
P.S. 057 HUBERT H. HUMPHREY,R,91.62
SPACE SHUTTLE COLUMBIA SCHOOL,R,93.26
THE HARBOR VIEW SCHOOL,R,96.23
P.S. 060 ALICE AUSTEN,R,94.13
I.S. 061 WILLIAM A MORRIS,R,89.95
THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP,R,94.69
MARSH AVENUE SCHOOL FOR EXPEDITIONARY LE,R,95.96
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCH,R,92.25
P.S. 65 THE ACADEMY OF INNOVATIVE LEARNI,R,91.70
THE RICHMOND PRE K CENTER,R,86.69
PORT RICHMOND SCHOOL FOR VISIONARY LEARN,R,90.29
P.S. 069 DANIEL D. TOMPKINS,R,94.25
I.S. 072 ROCCO LAURIE,R,95.42
P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,R,90.69
I.S. 075 FRANK D. PAULO,R,94.96
P.S. 78,R,90.75
THE MICHAEL J. PETRIDES SCHOOL,R,92.59
NEW DORP HIGH SCHOOL,R,80.76
PORT RICHMOND HIGH SCHOOL,R,73.51
CURTIS HIGH SCHOOL,R,73.94
TOTTENVILLE HIGH SCHOOL,R,85.80
SUSAN E. WAGNER HIGH SCHOOL,R,85.59
CONCORD HIGH SCHOOL,R,35.58
