name,borough,attendancePercentage
P.S. 092 MARY MCLEOD BETHUNE,M,91.30
P.S. 123 MAHALIA JACKSON,M,90.77
P.S. 125 RALPH BUNCHE,M,93.24
P.S. 129 JOHN H. FINLEY,M,88.20
P.S. 133 FRED R MOORE,M,91.59
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,M,80.16
P.S. 154 HARRIET TUBMAN,M,93.88
THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COM,M,77.87
P.S. 161 PEDRO ALBIZU CAMPOS,M,91.90
P.S. 175 HENRY H GARNET,M,93.08
P.S. 194 COUNTEE CULLEN,M,87.27
P.S. 197 JOHN B. RUSSWURM,M,91.56
P.S. 200 THE JAMES MCCUNE SMITH SCHOOL,M,90.15
HARLEM RENAISSANCE HIGH SCHOOL,M,36.97
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADER,M,87.78
MOTT HALL HIGH SCHOOL,M,78.77
THURGOOD MARSHALL ACADEMY LOWER SCHOOL,M,91.42
COLUMBIA SECONDARY SCHOOL,M,93.90
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING,M,69.38
FREDERICK DOUGLASS ACADEMY,M,83.98
NEW DESIGN MIDDLE SCHOOL,M,87.68
TEACHERS COLLEGE COMMUNITY SCHOOL,M,94.30
THURGOOD MARSHALL ACADEMY FOR LEARNING A,M,91.02
HIGH SCHOOL FOR MATHEMATICS SCIENCE AND,M,93.91
P.S. 004 DUKE ELLINGTON,M,92.09
P.S. 005 ELLEN LURIE,M,89.25
P.S. 008 LUIS BELLIARD,M,92.20
P.S. 018 PARK TERRACE,M,93.55
P.S. 028 WRIGHT BROTHERS,M,92.11
P.S. 048 P.O. MICHAEL J. BUCZEK,M,95.81
HAROLD O. LEVY SCHOOL,M,95.20
P.S. 098 SHORAC KAPPOCK,M,93.33
DOS PUENTES ELEMENTARY SCHOOL,M,96.35
P.S. 115 ALEXANDER HUMBOLDT,M,91.04
P.S. 128 AUDUBON,M,92.53
P.S. 132 JUAN PABLO DUARTE,M,95.00
J.H.S. 143 ELEANOR ROOSEVELT,M,94.98
P.S. 152 DYCKMAN VALLEY,M,92.10
P.S. 153 ADAM CLAYTON POWELL,M,95.53
P.S. 173,M,92.71
PROFESSOR JUAN BOSCH PUBLIC SCHOOL,M,97.00
P.S. I.S. 187 HUDSON CLIFFS,M,95.50
P.S. 189,M,94.14
P.S. 192 JACOB H. SCHIFF,M,92.23
HAMILTON GRANGE MIDDLE SCHOOL,M,93.26
P.S. I.S. 210 TWENTY FIRST CENTURY ACA,M,94.81
INWOOD EARLY COLLEGE FOR HEALTH AND INFO,M,72.11
THE MOTT HALL SCHOOL,M,94.64
PAULA HEDBAVNY SCHOOL,M,95.62
CITY COLLEGE ACADEMY OF THE ARTS,M,97.88
AMISTAD DUAL LANGUAGE SCHOOL,M,94.63
MUSCOTA,M,96.58
M.S. 319 MARIA TERESA,M,97.40
MIDDLE SCHOOL 322,M,94.36
M.S. 324 PATRIA MIRABAL,M,92.01
COMMUNITY MATH SCIENCE PREP,M,87.44
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,M,89.07
WASHINGTON HEIGHTS EXPEDITIONARY LEARNIN,M,90.81
HARBOR HEIGHTS,M,93.75
WASHINGTON HEIGHTS ACADEMY,M,92.81
HAMILTON HEIGHTS SCHOOL,M,96.22
HIGH SCHOOL FOR EXCELLENCE AND INNOVATIO,M,72.83
THE COLLEGE ACADEMY,M,83.50
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,M,83.56
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,M,81.75
HIGH SCHOOL FOR HEALTH CAREERS AND SCIEN,M,78.13
CASTLE BRIDGE SCHOOL,M,94.58
I.S. 528 BEA FULLER RODGERS SCHOOL,M,98.27
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,M,-1.00
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE,M,90.53
P.S. 001 COURTLANDT SCHOOL,X,89.04
P.S. 5 PORT MORRIS,X,92.40
P.S. 018 JOHN PETER ZENGER,X,81.97
P.S. 025 BILINGUAL SCHOOL,X,92.46
P.S. M.S. 029 MELROSE SCHOOL,X,88.55
P.S. 030 WILTON,X,89.30
P.S. M.S. 031 THE WILLIAM LLOYD GARRISON,X,93.17
P.S. 043 JONAS BRONCK,X,89.05
P.S. 049 WILLIS AVENUE,X,90.47
P.S. 065 MOTHER HALE ACADEMY,X,87.66
J.H.S. 151 LOU GEHRIG,X,84.16
P.S. 154 JONATHAN D. HYATT,X,90.82
P.S. 157 GROVE HILL,X,90.19
P.S. 161 JUAN PONCE DE LEON SCHOOL,X,87.21
P.S. 179,X,86.60
SOUTH BRONX PREPARATORY: A COLLEGE BOARD,X,93.72
THE LABORATORY SCHOOL OF FINANCE AND TEC,X,90.18
P.S. I.S. 224,X,94.04
H.E.R.O. HIGH HEALTH EDUCATION AND RE,X,82.15
P.S. 277,X,89.48
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,X,91.98
ACADEMY OF PUBLIC RELATIONS,X,91.11
INTERNATIONAL COMMUNITY HIGH SCHOOL,X,82.42
ACADEMY OF APPLIED MATHEMATICS AND TECHN,X,96.41
CONCOURSE VILLAGE ELEMENTARY SCHOOL,X,94.79
YOUNG LEADERS ELEMENTARY SCHOOL,X,92.94
JILL CHAIFETZ TRANSFER HIGH SCHOOL,X,54.90
BRONX HAVEN HIGH SCHOOL,X,48.38
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,X,80.19
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHO,X,71.00
UNIVERSITY HEIGHTS SECONDARY SCHOOL,X,89.98
HOSTOS LINCOLN ACADEMY OF SCIENCE,X,91.52
BRONX DESIGN AND CONSTRUCTION ACADEMY,X,75.42
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,X,80.77
LEARNING THROUGH PLAY PRE K CENTER,X,77.43
CAREERS IN SPORTS HIGH SCHOOL,X,68.95
THE URBAN ASSEMBLY BRONX ACADEMY OF LETT,X,70.60
MOTT HAVEN COMMUNITY HIGH SCHOOL,X,52.60
I.S. 584,X,91.70
ALFRED E. SMITH CAREER AND TECHNICAL EDU,X,86.33
HEALTH OPPORTUNITIES HIGH SCHOOL,X,71.07
